date,dap,stage,thermal_time,biomass,leaf_area_index,root_depth,fruit_number,fruit_biomass,leaf_biomass,stem_biomass,root_biomass,crown_number,runner_number,water_stress,daylength,photosynthesis,transpiration
2014-01-01,1,GERMINATION,11.950000000000001,0.05605972468438503,0.00044847779747508024,5.2,0.0,0.0,0.022423889873754013,0.011211944936877006,0.022423889873754013,1.0,0.0,0.0,9.227730253605849,0.28029862342192513,0.1621321121994145
2014-01-02,2,GERMINATION,28.300000000000004,0.056263687431767545,0.00045010949945414034,5.4,0.0,0.0,0.022505474972707017,0.011252737486353508,0.022505474972707017,1.0,0.0,0.0,9.240118638274426,0.006476269212071633,0.9048198261329663
2014-01-03,3,GERMINATION,34.650000000000006,0.056263687431767545,0.00045010949945414034,5.6000000000000005,0.0,0.0,0.022505474972707017,0.011252737486353508,0.022505474972707017,1.0,0.0,0.08904046004458957,9.253434767169711,0.002668432460329399,0.7212277263611756
2014-01-04,4,GERMINATION,42.45,0.056263687431767545,0.00045010949945414034,5.800000000000001,0.0,0.0,0.022505474972707017,0.011252737486353508,0.022505474972707017,1.0,0.0,0.03287273678661432,9.267669070540402,0.0011033698838900396,0.27613098900756033
2014-01-05,5,EMERGENCE,58.5,0.056546870932926784,0.0004523749674634143,6.000000000000001,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.14024519629320317,9.282811411608899,0.006779524482247259,1.2201332077508678
2014-01-06,6,EMERGENCE,69.85,0.056546870932926784,0.0004523749674634143,6.200000000000001,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.09592937777451399,9.298851111346337,0.003635669971429405,0.8633643999706261
2014-01-07,7,EMERGENCE,71.6,0.056546870932926784,0.0004523749674634143,6.400000000000001,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.0712622160270216,9.315776974179943,0.0008882956723097434,0.662738609051301
2014-01-08,8,EMERGENCE,77.89999999999999,0.056546870932926784,0.0004523749674634143,6.600000000000001,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.051889627769072216,9.333577314510116,0.0014634274090073226,0.4981404265830933
2014-01-09,9,EMERGENCE,90.54999999999998,0.056546870932926784,0.0004523749674634143,6.800000000000002,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.0,9.352239983913726,0.002622476444529656,0.36773526012151786
2014-01-10,10,JUVENILE,107.64999999999998,0.056546870932926784,0.0004523749674634143,7.000000000000002,0.0,0.0,0.022618748373170714,0.011309374186585357,0.022618748373170714,1.0,0.0,0.053446380747733196,9.371752398910028,0.004819775425910192,0.5451530836268788
2014-01-11,11,JUVENILE,125.44230769230768,0.0568195952476876,0.0004545567619815008,7.200000000000002,0.0,0.0,0.02272783809907504,0.01136391904953752,0.02272783809907504,1.0,0.0,0.0,9.392101569166297,0.007598868145413995,0.9217212969353885
2014-01-12,12,JUVENILE,135.39230769230767,0.057210939031741355,0.0004576875122539308,7.400000000000002,0.0,0.0,0.02288437561269654,0.01144218780634827,0.02288437561269654,1.0,0.0,0.11456928633868739,9.413274126021959,0.005505658402183407,1.237348292457824
2014-01-13,13,JUVENILE,147.49230769230766,0.057354608894305006,0.0004588368711544401,7.600000000000002,0.0,0.0,0.022941843557722004,0.011470921778861002,0.022941843557722004,1.0,0.0,0.09869522683548487,9.435256351212278,0.004865988633965924,1.0955170178738824
2014-01-14,14,JUVENILE,160.09230769230766,0.057354608894305006,0.0004588368711544401,7.8000000000000025,0.0,0.0,0.022941843557722004,0.011470921778861002,0.022941843557722004,1.0,0.0,0.0,9.458034205675713,0.002553075738263916,0.3330870311688617
2014-01-15,15,JUVENILE,169.14230769230767,0.057354608894305006,0.0004588368711544401,8.000000000000002,0.0,0.0,0.022941843557722004,0.011470921778861002,0.022941843557722004,1.0,0.0,0.02701674481449926,9.481593358332772,0.0029961340202572986,0.5260959143296414
2014-01-16,16,JUVENILE,172.29230769230767,0.057354608894305006,0.0004588368711544401,8.200000000000001,0.0,0.0,0.022941843557722004,0.011470921778861002,0.022941843557722004,1.0,0.0,0.05898748759607925,9.505919214728447,0.0018811842059449197,0.917849851152951
2014-01-17,17,JUVENILE,177.39230769230767,0.05740206706395594,0.00045921653651164753,8.4,0.0,0.0,0.022960826825582377,0.011480413412791188,0.022960826825582377,1.0,0.0,0.09783015201787051,9.53099694543515,0.0027968739401070812,1.2033108698198076
2014-01-18,18,JUVENILE,180.74230769230766,0.05740206706395594,0.00045921653651164753,8.6,0.0,0.0,0.022960826825582377,0.011480413412791188,0.022960826825582377,1.0,0.0,0.08480601843871892,9.556811514118186,0.001994267112674496,1.0685558323278586
2014-01-19,19,JUVENILE,185.94230769230765,0.05740206706395594,0.00045921653651164753,8.799999999999999,0.0,0.0,0.022960826825582377,0.011480413412791188,0.022960826825582377,1.0,0.0,0.07112838633735749,9.58334770517159,0.0021438454182486064,0.9175561837519115
2014-01-20,20,JUVENILE,194.99230769230766,0.05769327811201075,0.000461546224896086,8.999999999999998,0.0,0.0,0.023077311244804298,0.011538655622402149,0.023077311244804298,1.0,0.0,0.0952873580639127,9.610590150837949,0.004824545454644012,1.2577931264436475
2014-01-21,21,VEGETATIVE,206.39230769230767,0.05807116402103615,0.00046532508398633996,9.099999999999998,0.0,0.0,0.023266254199316997,0.011652021395109768,0.023152888426609376,1.02,0.1,0.036090932141725034,9.638523357731993,0.005873940483553576,1.0472275839132879
2014-01-22,22,VEGETATIVE,209.44230769230768,0.05807116402103615,0.00046532508398633996,9.199999999999998,0.0,0.0,0.023266254199316997,0.011652021395109768,0.023152888426609376,1.0404,0.202,0.0743385930268526,9.667131732694196,0.0018608677587307954,1.0147217948165377
2014-01-23,23,VEGETATIVE,213.9923076923077,0.058119883568838224,0.0004658122794643608,9.299999999999997,0.0,0.0,0.02329061397321804,0.011666637259450394,0.023162632336169792,1.061208,0.30604000000000003,0.09158378844856954,9.696399607906951,0.002740355941056024,1.2638562805902593
2014-01-24,24,VEGETATIVE,219.7423076923077,0.058119883568838224,0.0004658122794643608,9.399999999999997,0.0,0.0,0.02329061397321804,0.011666637259450394,0.023162632336169792,1.08243216,0.41216080000000005,0.056652925264740694,9.726311265212455,0.002673696275803305,0.7903083074431324
2014-01-25,25,VEGETATIVE,228.59230769230768,0.05825785377636027,0.00046719198153958127,9.499999999999996,0.0,0.0,0.023359599076979064,0.011708028321707009,0.023190226377674202,1.1040808032,0.5204040160000001,0.07004244625166609,9.756850959577987,0.004056758142064157,0.9875984921484915
2014-01-26,26,VEGETATIVE,237.9923076923077,0.05825785377636027,0.00046719198153958127,9.599999999999996,0.0,0.0,0.023359599076979064,0.011708028321707009,0.023190226377674202,1.126162419264,0.6308120963200001,0.0,9.788002941660615,0.0013904799029593367,0.24008649310550972
2014-01-27,27,VEGETATIVE,251.34230769230768,0.05825785377636027,0.00046719198153958127,9.699999999999996,0.0,0.0,0.023359599076979064,0.011708028321707009,0.023190226377674202,1.14868566764928,0.7434283382464002,0.0,9.819751479429835,0.0030661016113267686,0.3815810749401493
2014-01-28,28,VEGETATIVE,265.2923076923077,0.05869514595160211,0.0004715649032919996,9.799999999999995,0.0,0.0,0.023578245164599977,0.011839215974279556,0.023277684812722566,1.1716593810022657,0.8582969050113283,0.0929982643229871,9.852080878812762,0.006993972754829089,1.3531247458994617
2014-01-29,29,VEGETATIVE,273.5923076923077,0.05869514595160211,0.0004715649032919996,9.899999999999995,0.0,0.0,0.023578245164599977,0.011839215974279556,0.023277684812722566,1.195092568622311,0.9754628431115548,0.0,9.884975503332614,0.0012392544292168185,0.2522514018081395
2014-01-30,30,VEGETATIVE,278.44230769230774,0.05869514595160211,0.0004715649032919996,9.999999999999995,0.0,0.0,0.023578245164599977,0.011839215974279556,0.023277684812722566,1.2189944199947573,1.094972099973786,0.0,9.918419792716955,0.0005907479500087152,0.11266126439115169
2014-01-31,31,VEGETATIVE,287.29230769230776,0.05869514595160211,0.0004715649032919996,10.099999999999994,0.0,0.0,0.023578245164599977,0.011839215974279556,0.023277684812722566,1.2433743083946525,1.2168715419732616,0.0,9.952398280457828,0.0009736437779325544,0.14148465766192395
2014-02-01,32,VEGETATIVE,303.1423076923078,0.05869514595160211,0.0004715649032919996,10.199999999999994,0.0,0.0,0.023578245164599977,0.011839215974279556,0.023277684812722566,1.2682417945625455,1.3412089728127268,0.02516333636091706,9.986895610311146,0.004735376501342947,0.5912245458678932
2014-02-02,33,VEGETATIVE,320.6423076923078,0.059303648392187096,0.0004776499276978495,10.299999999999994,0.0,0.0,0.023882496384892475,0.012021766706455056,0.023399385300839567,1.2936066304537963,1.4680331522689813,0.09169088415793912,10.021896551727782,0.009243410227662308,1.4028705276164677
2014-02-03,34,VEGETATIVE,337.7423076923078,0.059864828499168854,0.00048326172876766716,10.399999999999993,0.0,0.0,0.024163086438383358,0.012190120738549585,0.02351162132223592,1.3194787630628722,1.597393815314361,0.08467863945878108,10.05738601421348,0.008907831326273733,1.3082849796381668
2014-02-04,35,VEGETATIVE,355.3923076923078,0.06031877707516921,0.00048780121452767064,10.499999999999993,0.0,0.0,0.02439006072638353,0.012326305311349688,0.02360241103743599,1.3458683383241297,1.729341691620648,0.06806279626921088,10.093349060619158,0.0086764256610118,1.271779621799689
2014-02-05,36,VEGETATIVE,373.2538461538462,0.06031877707516921,0.00048780121452767064,10.599999999999993,0.0,0.0,0.02439006072638353,0.012326305311349688,0.02360241103743599,1.3727857050906123,1.863928525453061,0.041877985690349374,10.129770919367237,0.006168421952496342,0.6595782746230022
